,Наименование,Адрес,ИНН,Контакты
36,"ГКОУ РД ""КСКОШИ""","368530, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КАРАБУДАХКЕНТСКИЙ, СЕЛО КАРАБУДАХКЕНТ, УЛИЦА ВАЛЕНТИНЫ АБДУЛЛАЕВОЙ, 12",522008940.0,8 (928) 570-08-05
37,"ГКОУ РД ""КСОШИ""","368880, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТАРУМОВСКИЙ, СЕЛО КОЧУБЕЙ, ПЕРЕУЛОК ИНТЕРНАТСКИЙ, 3",531003881.0,2-15-30
38,"ГКОУ РД ""КУБИНСКАЯ СОШ ЛАКСКОГО РАЙОНА""","368362, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, ТУРЗАН С, д",505008202.0,8 (928) 839-75-42
39,"ГКОУ РД ""КУРМИНСКАЯ СШИ""","368253, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ГЕРГЕБИЛЬСКИЙ, СЕЛО КУРМИ, УЛИЦА ИМАМА ШАМИЛЯ, ДОМ 12",508005841.0,
40,"ГКОУ РД ""МАЗАДИНСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368422, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО МАЗАДА",532140873.0,8 (960) 409-64-71
41,"ГКОУ РД ""НОВОБОРЧИНСКАЯ СОШ""","368700, ДАГЕСТАН РЕСП, РУТУЛЬСКИЙ Р-Н, НОВЫЙ БОРЧ С, ДОМ ПЕРЕУЛОК ШКОЛЬНЫЙ 1",505008114.0,8 (967) 406-33-12
42,"ГКОУ РД ""НОВОГАГАРСКАЯ ООШ ТЛЯРАТИНСКОГО РАЙОНА""","368424, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ТЛЯРАТИНСКИЙ, СЕЛО ГАГАР, УЛИЦА ГАГАРСКАЯ, ДОМ 1",532141130.0,
43,ГКОУНОВОДАНУХСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
44,"ГКОУ РД ""НОВОМЕГЕБСКАЯ ООШ ГУНИБСКОГО РАЙОНА""","368352, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, МЕГЕБ С, 0",510008857.0,8 (988) 454-66-66
45,"ГКОУ РД ""НОВОМЕГЕБСКАЯ ООШ ГУНИБСКОГО РАЙОНА""","368352, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, МЕГЕБ С, 0",510008857.0,8 (988) 454-66-66
46,"ГКОУ РД ""НОВОМУСЛАХСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""","368700, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН РУТУЛЬСКИЙ, СЕЛО МУСЛАХ, УЛИЦА ЯХЬИ ФЕРЗАЛИЕВА, ДОМ 1",505008107.0,
47,"ГКОУ РД ""НОВОМУСЛАХСКАЯ СОШ РУТУЛЬСКОГО РАЙОНА""","368700, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН РУТУЛЬСКИЙ, СЕЛО МУСЛАХ, УЛИЦА ЯХЬИ ФЕРЗАЛИЕВА, ДОМ 1",505008107.0,
48,"ГКОУ РД ""НОВОТАНУСИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368025, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ХАСАВЮРТОВСКИЙ, СЕЛО ПЯТИЛЕТКА",534029743.0,8 (928) 972-40-09
49,"ГКОУ РД ""НОВОТИНДИНСКАЯ СОШ ЦУМАДИНСКОГО РАЙОНА""","368067, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ЦУМАДИНСКИЙ, СЕЛО ШАВА",505008450.0,8 (965) 493-77-55
50,"ГКОУ РД ""НОВОУРАДИНСКАЯ СОШ ШАМИЛЬСКОГО РАЙОНА""","368436, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН ШАМИЛЬСКИЙ, СЕЛО УРАДА, УЛИЦА ИМ. ТАНКАЕВА, ДОМ 22",528007974.0,8 (928) 531-50-76
51,"ГКОУ РД ""НОВОХЕЛЕТУРИНСКАЯ СОШ""","368989, ДАГЕСТАН РЕСП, БОТЛИХСКИЙ Р-Н, ХЕЛЕТУРИ С, д",505008410.0,8 (872) 267-84-50
