,СОШ,Наличие
299,МБОУ СОШ № 5 с. Нижнее Казанище,YES
300,МБОУ Халимбекаульская СОШ,YES
301,МБОУ Чиркейская гимназия,YES
302,МБОУ Чиркейский образовательный центр,YES
303,МБОУ Эрпелинская СОШ,YES
304,МКОУ Агачкалинская СОШ,YES
305,МКОУ Акайталинская СОШ,YES
306,МКОУ Апшинская СОШ,YES
307,МКОУ Арахкентская СОШ,YES
308,МКОУ Аркасская ООШ,YES
309,МКОУ В-Казанищенская СОШ № 2,YES
310,МКОУ В-Каранайская СОШ,YES
311,МКОУ Ванашинская ООШ,YES
312,МКОУ Дурангинская СОШ,YES
313,МКОУ Ишкартынская СОШ,YES
314,МКОУ Кадарская ООШ,YES
315,МКОУ Карамахинская ООШ,YES
316,МКОУ Манасаульская СОШ,YES
317,МКОУ Н-Каранайская ООШ,YES
318,МКОУ Нижнеказанищенская СОШ № 4,YES
319,МКОУ Такалайская СОШ,YES
320,МКОУ Халимбекаульская НОШ,
321,МКОУ Чабанмахинская СОШ,YES
322,МКОУ Чанкурбенская СОШ,YES
323,МКОУ Экибулакская ООШ,YES
324,  г. Буйнакск,
325,МБОУ СОШ № 4,YES
326,МБОУ СОШ № 9,YES
327,МБОУ СОШ №2,YES
328,МКОУ Гимназия,YES
329,МКОУ СОШ №10,YES
330,МКОУ СОШ №11,YES
331,МКОУ СОШ №3,YES
332,МКОУ СОШ №5,YES
333,МКОУ СОШ №6,YES
334,МКОУ СОШ №7,YES
335,МКОУ СОШ №8,YES
336,  г. Дагестанские Огни,
337,МБОУ СОШ № 1,YES
338,МБОУ СОШ № 2,YES
339,МБОУ СОШ № 3,YES
340,МБОУ СОШ № 4,YES
341,МБОУ СОШ № 5,YES
342,МБОУ СОШ № 6,YES
343,МБОУ СОШ № 7,YES
344,МБОУ СОШ № 8,YES
345,  г. Дербент,
346,МБОУ Гимназия Культуры мира №18,YES
347,МБОУ Гимназия №1,YES
348,МБОУ Гимназия №2,YES
349,МБОУ Гимназия №3,YES
350,МБОУ Дербентский кадетский,
351,МБОУ Прогимназия Президент,
352,МБОУ Прогимназия № 18,
353,МБОУ Прогимназия №15,
354,МБОУ СОШ №1,YES
355,МБОУ СОШ №11,YES
356,МБОУ СОШ №12,YES
357,МБОУ СОШ №13,YES
358,МБОУ СОШ №14,YES
359,МБОУ СОШ №15,YES
360,МБОУ СОШ №16,
361,МБОУ СОШ №17,YES
362,МБОУ СОШ №19,YES
363,МБОУ СОШ №20,YES
364,МБОУ СОШ №21,YES
365,МБОУ СОШ №3,YES
366,МБОУ СОШ №4,YES
367,МБОУ СОШ №6,YES
368,МБОУ СОШ №8,YES
369,МБОУ СОШ №9,YES
370,МКОУ Спец. (коррекц.). Шк.-интер. №7,
371,  г. Избербаш,
372,МКОУ СОШ№1,
373,МКОУ СОШ№2,
374,МКОУ Избербаш.шк.–интер. III-IV в.,
375,МКОУ СОШ №10,YES
376,МКОУ СОШ №12,YES
377,МКОУ СОШ №3 ,YES
378,МКОУ СОШ №8,YES
379,МКОУ СОШ№11,
380,  г. Каспийск,
381,МБОУ Каспийская гимназия№11,YES
382,МБОУ СОШ№12,
383,МБОУ СОШ№13,
384,МБОУ Каспийская гимназия,YES
385,МБОУ Каспийский лицей №8,YES
386,МБОУ КМШИ,YES
387,МБОУ СОШ №1,YES
388,МБОУ СОШ №2,YES
389,МБОУ СОШ №4,YES
390,МБОУ СОШ №5,YES
391,МБОУ СОШ №9,YES
392,МБОУ СОШ№6,
393,МБОУ СОШ №3,YES
394,МОКУ С(К)ОШ № 10 (VIII вида),YES
395,  г. Кизилюрт,
396,МКОУ Гимназия №5 им. А.А. Алиева,YES
397,МКОУ Гимназия №1,YES
398,МКОУ СОШ №2,YES
399,МКОУ СОШ №3,YES
400,МКОУ СОШ №4,YES
401,МКОУ СОШ №7,YES
402,МКОУ СОШ №8,YES
403,МКОУ СОШ №9,YES
404,  г. Кизляр,
405,МКОУ ПРОГИМНАЗИЯ ЛАСТОЧКА,
406,МКОУ КГ № 1,
407,МКОУ КГ №6,
408,МКОУ МПЛ № 2,
409,МКОУ СОШ № 3,YES
410,МКОУ СОШ № 5,YES
411,МКОУ СОШ №11,YES
412,МКОУ СОШ №4,YES
413,МКОУ СОШ №7,YES
414,МКОУ СОШ №9,YES
415,  г. Махачкала,
416,МБОУ Гимназия №1,YES
417,МБОУ СОШ №2,YES
418,МБОУ Многопроф. лицей №3,YES
419,МБОУ Гимназия №4,YES
420,МБОУ Многопроф. Лицей №5,YES
421,МБОУ СОШ №6,YES
422,МБОУ Гимназия №7,YES
423,МБОУ Лицей №8,YES
424,МБОУ Многопроф. лицей №9,YES
425,МБОУ СОШ №10,YES
426,МБОУ Гимназия №11,YES
427,МБОУ СОШ №12,YES
428,МБОУ Многопроф. гимназ. №13,
429,МБОУ СОШ №14,YES
430,МБОУ СОШ №15,YES
431,МБОУ СОШ №16,
432,МБОУ Гимназия №17,YES
433,МБОУ СОШ №18,
434,МБОУ СОШ №19,YES
435,МБОУ СОШ №20,YES
436,МБОУ СОШ №21,YES
437,МБОУ Лицей №22,YES
438,МБОУ ООШ №23,
439,МБОУ СОШ №24,YES
440,МБОУ СОШ №25,YES
441,МБОУ СОШ №26,YES
442,МБОУ СОШ №27,YES
443,МБОУ Гимназия №28,YES
444,МБОУ СОШ №29,YES
445,МБОУ Многопроф. лицей №30,YES
446,МБОУ СОШ №31,
447,МБОУ СОШ №32,
448,МБОУ Гимназия №33,YES
449,МБОУ СОШ №34,
450,МБОУ Гимназия №35,YES
451,МБОУ СОШ №36,
452,МБОУ Гимназия №37,YES
453,МБОУ Многопроф. гимназия №38,YES
454,МБОУ Многопроф. лицей №39,YES
455,МБОУ СОШ №40,
456,МБОУ СОШ №41,YES
457,МБОУ СОШ №42,
458,МБОУ СОШ №43,
459,МБОУ СОШ №44,
460,МБОУ СОШ №45,
461,МБОУ СОШ №46,
462,МБОУ СОШ №47,
463,МБОУ СОШ №48,
464,МБОУ СОШ №49,
465,МБОУ СОШ №50,YES
466,МБОУ Лицей №51,YES
467,МБОУ Лицей №52,YES
468,МБОУ СОШ №53,
469,МБОУ СОШ №55,
470,МБОУ Многопроф. гимназия №56,YES
471,МБОУ СОШ №58,
472,МБОУ СОШ №59,YES
473,МБОУ СОШ №60,
474,МБОУ СОШ №61,YES
475,МБОУ Гимназия Перспектива,YES
476,МКОУ 1-й ДКК им.Трошева Г.Н.,
477,МКОУ Шк.-инт. для детей-сирот,
478,МБОУ Прог. №27 Академия детства,
479,МБОУ Прогимназия №52 Гюняш,
480,МБОУ Прогимназия №66 Мечта,
481,МБОУ Прогимназия Месед №68,
482,МБОУ Прогимназия №71,
483,МБОУ Прогимназия №78 Аист,
484,МКСОУ I в. спец.(коррекц.) . шк.,
485,МКСОУ II в. спец.(коррекц.). шк.,
486,МКСОУ IV в. спец.(коррекц.) . шк.,
487,  г. Хасавюрт,
488,МКОУ Гимназия № 1,YES
489,МКОУ Гимназия № 2 им.А.Сайтиева,YES
490,МКОУ Гимназия № 3,YES
491,МКОУ Гимназия им.М.Горького,YES
