,СОШ,Наличие
241,МБОУ СОШ №14 Дербент,YES
242,МБОУ СОШ №15,YES
243,МБОУ СОШ №19 г. Махачкала,YES
244,МБОУ СОШ №19 Дербент,YES
245,МБОУ СОШ №19,YES
246,МБОУ СОШ №2  ДАГЕСТАНСКИЕ ОГНИ,YES
247,МБОУ СОШ №2 г. Махачкала,YES
248,МБОУ СОШ №2,YES
249,МБОУ СОШ №20 г. Махачкала,YES
250,МБОУ СОШ №26 г. Махачкала,YES
251,МБОУ СОШ №27 г. Махачкала,YES
252,МБОУ СОШ №3  ДАГЕСТАНСКИЕ ОГНИ,YES
253,МБОУ СОШ №41 г. Махачкала,YES
254,МБОУ СОШ №5  ДАГЕСТАНСКИЕ ОГНИ,YES
255,МБОУ СОШ №5 Каспийск,YES
256,МБОУ СОШ №50,YES
257,МБОУ СОШ №59 г. Махачкала,YES
258,МБОУ СОШ №6 г. Махачкала,YES
259,МБОУ СОШ №6 Каспийск,YES
260,МБОУ СОШ №61 г. Махачкала,YES
261,МБОУ СОШ №7  ДАГЕСТАНСКИЕ ОГНИ,YES
262,МБОУ СОШ №8  ДАГЕСТАНСКИЕ ОГНИ,YES
263,МБОУ СОШ №9 Г.ДЕРБЕНТ РД,YES
264,МБОУ Специальная ОШИ 1 вида_г. Махачкала,
265,МБОУ Специальная ОШИ IV вида Махачкала,
266,МБОУ СШ_4,
267,МБОУ ТАД-МАГИТЛИНСКАЯ СОШ,YES
268,МБОУ Тиндинская СОШ,YES
269,МБОУ Тисси-Ахитлинская СОШ-САД,YES
270,МБОУ Тиссинская СОШ,YES
271,МБОУ ТЛИБИШИНСКАЯ СОШ,YES
272,МБОУ Тлондодинская СОШ,YES
273,МБОУ ТУКИТИНСКАЯ СОШ,YES
274,МБОУ УЛЛУБИЙАУЛЬСКАЯ СОШ,YES
275,МБОУ ФИЛЯЛИНСКАЯ СОШ,YES
276,МБОУ Халимбекаульская СОШ,YES
277,МБОУ Хуштадинская СОШ-САД,
278,МБОУ ЦМУРСКАЯ СОШ,YES
279,МБОУ ЦОЛОДИНСКАЯ СОШ,YES
280,МБОУ Чиркейская Гимназия,YES
281,МБОУ Чиркейский образовательный центр,YES
282,МБОУ ШИ для детей сирот_г_Махачкала,
283,МБОУ Школа-интернат II вида,
284,МБОУ Эрпелинская СОШ,YES
285,МБОУ Эчединская СОШ-сад,
286,МБУ Верхнекаранайская  СОШ,
287,МКОО АСОШ,
288,МКОО ШИЛЯГИНСКАЯ СОШ,YES
289,МКОУ  Сильдинская СОШ,YES
290,МКОУ  УТАМЫШСКАЯ СОШ ,YES
291,МКОУ 1-ЦОВКРИНСКАЯ ООШ,YES
292,МКОУ 2-ЦОВКРИНСКАЯ СОШ,YES
293,МКОУ Аваданская СОШ,YES
294,МКОУ Аверьяновская СОШ,YES
295,МКОУ АГАДИНСКАЯ СОШ,YES
296,МКОУ АГАЧАУЛЬСКАЯ СОШ,YES
297,МКОУ Агачкалинская СОШ,YES
298,МКОУ Агвалинская СОШ,
299,МКОУ АГЛОБИНСКАЯ СОШ,
300,МКОУ АДАНАКСКАЯ СОШ,YES
301,МКОУ АДЖИДАДИНСКАЯ СОШ,
302,МКОУ АДЖИМАЖАГАТЮРТОВСКАЯ СОШ,YES
303,МКОУ АДИЛЬОТАРСКАЯ СОШ,YES
304,МКОУ АДИЛЬЯНГИЮРТОВСКАЯ СОШ,YES
305,МКОУ АЗАДОГЛЫНСКАЯ СОШ,YES
306,МКОУ Аймакинская СОШ,YES
307,МКОУ АЙМАУМАХИНСКАЯ СОШ,YES
308,МКОУ Акайталинская СОШ,YES
309,МКОУ АКБУЛАТЮРТОВСКАЯ СОШ,YES
310,МКОУ АККИНСКАЯ СОШ,YES
311,МКОУ АКНАДИНСКАЯ СОШ,YES
312,МКОУ АКСАЕВСКАЯ ШКОЛА - ИНТЕРНАТ,
313,МКОУ АКСАЙСКАЯ СОШ №1,YES
314,МКОУ АКСАЙСКАЯ СОШ №2,YES
315,МКОУ АКУШИНСКАЯ СОШ №2,YES
316,МКОУ Акушинская СОШ_1,
317,МКОУ АЛАДАШСКАЯ СОШ,YES
318,МКОУ АЛАКСКИЙ ЛИЦЕЙ,YES
319,МКОУ Александрийская СОШ,YES
320,МКОУ АЛКАДАРСКАЯ СОШ,YES
321,МКОУ АЛМАЛИНСКАЯ СОШ,YES
322,МКОУ АЛХОДЖАКЕНТСКАЯ СОШ,YES
323,МКОУ Амушинская СОШ,
324,МКОУ АНДИЙСКАЯ СОШ №1,YES
325,МКОУ АНДИЙСКАЯ СОШ №2,YES
326,МКОУ Андыхская СОШ,YES
327,МКОУ А-НЕВСКАЯ СОШ,YES
328,МКОУ АНСАЛТИНСКАЯ СОШ,YES
329,МКОУ АООШ,
330,МКОУ Апшинская СОШ,YES
331,МКОУ АРАБЛИНСКАЯ СОШ,
332,МКОУ АРАБЛЯРСКАЯ СОШ,YES
333,МКОУ АРАДА- ЧУГЛИНСКАЯ СОШ,
334,МКОУ АРАДИРИХСКАЯ СОШ,YES
335,МКОУ АРАКАНСКАЯ СОШ,YES
336,МКОУ АРАКСКАЯ СОШ,YES
337,МКОУ Арахкентская СОШ,YES
338,МКОУ АРГВАНИНСКАЯ СОШ,YES
339,МКОУ АРКАССКАЯ ООШ,YES
340,МКОУ АРКИТСКАЯ СОШ,YES
341,МКОУ АРСУГСКАЯ СОШ,YES
342,МКОУ АРХИТСКАЯ СОШ,
343,МКОУ АРЧУГСКАЯ НОШ,YES
344,МКОУ АРШИНСКАЯ СОШ,YES
345,МКОУ АС(П)ОШ,
346,МКОУ АСАЛИКЕНТСКАЯ ООШ,YES
347,МКОУ АСОШ,
348,МКОУ АССАБСКАЯ СОШ,YES
349,МКОУ АТРИКСКАЯ НОШ,YES
350,МКОУ АХАРСКАЯ СОШ,YES
351,МКОУ АХКЕНТСКАЯ СОШ,YES
352,МКОУ АХТЫНСКАЯ ООШ,YES
353,МКОУ АХТЫНСКАЯ СОШ № 2,YES
354,МКОУ АХТЫНСКАЯ СОШ №1,YES
355,МКОУ АЧИНСКАЯ СОШ №1,YES
356,МКОУ АЧИСИНСКАЯ СОШ №2,YES
357,МКОУ АШАГАКАРТАССКАЯ ООШ,YES
358,МКОУ АШАГАСТАЛКАЗМАЛЯРСКАЯ СОШ,YES
359,МКОУ АШАГАСТАЛЬСКАЯ СОШ,YES
360,МКОУ АШАГА-ЯРАКСКАЯ СОШ,YES
361,МКОУ АШАЛИНСКАЯ ООШ,YES
362,МКОУ АШАРСКАЯ СОШ,YES
363,МКОУ АШИЛЬТИНСКАЯ СОШ,YES
364,МКОУ АЯЛАКАБСКАЯ СОШ,
365,МКОУ АЯЛИЗИМАХИНСКАЯ СОШ,YES
366,МКОУ Бабаюр-ая СОШ №1 им. Арзулумова,YES
367,МКОУ БАБАЮРТОВСКАЯ СОШ №2,YES
