,СОШ,Наличие
1020,МКОУ УНТЫНСКАЯ ООШ,YES
1021,МКОУ УНЧУКАТЛИНСКАЯ СОШ,YES
1022,МКОУ УНШ-ДЕТСКИЙ САД,
1023,МКОУ УРАГИНСКАЯ СОШ,YES
1024,МКОУ Урадинская СОШ,YES
1025,МКОУ УРАЛИНСКАЯ СОШ,YES
1026,МКОУ УРАРИНСКАЯ С(П)ОШ,
1027,МКОУ УРАХИНСКАЯ СОШ,YES
1028,МКОУ УРГИНСКАЯ СОШ,YES
1029,МКОУ УРИБСКАЯ ОСШ,
1030,МКОУ УРИНСКАЯ ООШ ЛАКСКОГО РАЙОНА,YES
1031,МКОУ Уркарахская МГ,YES
1032,МКОУ УРМИНСКАЯ ООШ,YES
1033,МКОУ УРМИНСКАЯ СОШ,YES
1034,МКОУ УРЦАКИНСКАЯ ООШ,YES
1035,МКОУ УС(П)ОШ,
1036,МКОУ УСЕМИКЕНТСКАЯ СОШ,YES
1037,МКОУ УСОШ № 1,
1038,МКОУ УСОШ № 2,
1039,МКОУ УСУГСКАЯ СОШ,YES
1040,МКОУ УЦМИЮРТОВСКАЯ СОШ,YES
1041,МКОУ УЧКЕНТСКАЯ СОШ,YES
1042,МКОУ УШНИГСКАЯ СОШ,YES
1043,МКОУ ФИЙСКАЯ СОШ,YES
1044,МКОУ ФИРГИЛЬСКАЯ СОШ,YES
1045,МКОУ ФИТИНСКАЯ СОШ,YES
1046,МКОУ ХАДАГИНСКАЯ ООШ,YES
1047,МКОУ ХАДЖАЛМАХИНСКАЯ ООШ,YES
1048,МКОУ ХАДЖАЛМАХИНСКАЯ СОШ,YES
1049,МКОУ ХАЗАРСКАЯ СОШ,
1050,МКОУ ХАЙМИНСКАЯ НОШ,YES
1051,МКОУ ХАЙХИНСКАЯ ОО ШКОЛА - САД,
1052,МКОУ ХАЛАГСКАЯ СОШ,YES
1053,МКОУ ХАЛИМБЕКАУЛЬСКАЯ СОШ,YES
1054,МКОУ ХАМАВЮРТОВСКАЯ СОШ,YES
1055,МКОУ ХАМАМАТЮРТОВСКАЯ СОШ №1,YES
1056,МКОУ Ханагская СОШ,YES
1057,МКОУ ХАНАКСКАЯ ООШ,YES
1058,МКОУ ХАПИЛЬСКАЯ СОШ,YES
1059,МКОУ ХАРБУКСКАЯ СОШ,YES
1060,МКОУ ХАСАНАЙСКАЯ СОШ,YES
1061,МКОУ ХАХИТИНСКАЯ СОШ,YES
1062,МКОУ Хвартикунинская СОШ,YES
1063,МКОУ ХВЕРЕДЖСКАЯ СОШ,YES
1064,МКОУ Хебдинская СОШ,YES
1065,МКОУ ХЕЛЕТУРИНСКАЯ СОШ,YES
1066,МКОУ ХИВСКАЯ СОШ ИМ.М.ШАМХАЛОВА,
1067,МКОУ ХИЛИ-ПЕНДЖИКСКАЯ СОШ,YES
1068,МКОУ ХИНДАХСКАЯ ООШ,YES
1069,МКОУ ХИНДАХСКАЯ СОШ,YES
1070,МКОУ ХКЕМСКАЯ ООШ,YES
1071,МКОУ ХМЛ,YES
1072,МКОУ ХНОВСКАЯ СОШ,YES
1073,МКОУ ХОДЖАКАЗМАЛЯРСКАЯ СОШ,YES
1074,МКОУ ХООШ,
1075,МКОУ ХОРЕДЖСКАЯ СОШ,YES
1076,МКОУ ХОРЕЛЬСКАЯ СОШ,YES
1077,МКОУ ХОСРЕХСКАЯ СОШ,YES
1078,МКОУ Хотодинская СОШ,YES
1079,МКОУ ХОТОЧИНСКАЯ СОШ,YES
1080,МКОУ ХПЕДЖСКАЯ СОШ,YES
1081,МКОУ ХПЮКСКАЯ СОШ,YES
1082,МКОУ ХРЮГСКАЯ СОШ,YES
1083,МКОУ ХТУНКАЗМАЛЯРСКАЯ ООШ,
1084,МКОУ Хубарская СОШ,YES
1085,МКОУ ХУДИГСКАЯ СОШ,YES
1086,МКОУ ХУДУЦСКАЯ С(П)ОШ,
1087,МКОУ ХУЛИСМИНСКАЯ ООШ,YES
1088,МКОУ ХУНГИЯНСКАЯ ООШ,YES
1089,МКОУ Хунзахская СОШ,YES
1090,МКОУ ХУНИНСКАЯ ООШ,YES
1091,МКОУ ХУРИКСКАЯ СОШ ИМ. Р.ГАСАНОВА,
1092,МКОУ ХУРИНСКАЯ,YES
1093,МКОУ ХУРХИНСКАЯ СОШ,YES
1094,МКОУ ХУРШНИНСКАЯ СОШ,YES
1095,МКОУ ХУРЯКСКАЯ ООШ,YES
1096,МКОУ ХУСТИЛЬСКАЯ СОШ,YES
1097,МКОУ ХУТНИБСКАЯ СОШ,YES
1098,МКОУ ХУТХУЛЬСКАЯ СОШ,YES
1099,МКОУ Хуцеевская СОШ,YES
1100,МКОУ ХУЧАДИНСКАЯ ООШ,YES
1101,МКОУ Хучнинская СОШ 1,
1102,МКОУ ХУЧНИНСКАЯ СОШ №2,YES
1103,МКОУ ХЮРЕХЮРСКАЯ СОШ,YES
1104,МКОУ ЦАНАКСКАЯ СОШ,YES
1105,МКОУ ЦАНАТЛИНСКАЯ ООШ,YES
1106,МКОУ ЦАТАНИХСКАЯ СОШ,YES
1107,МКОУ Цветковая гимназия,YES
1108,МКОУ ЦЕЛЕГЮНСКАЯ СОШ,YES
1109,МКОУ ЦИЗГАРИНСКАЯ ООШ,YES
1110,МКОУ ЦИЛИТЛИНСКАЯ СОШ,YES
1111,МКОУ ЦИНИТСКАЯ СОШ,
1112,МКОУ ЦНАЛЬСКАЯ СОШ,
1113,МКОУ ЦО ЮЛДАШ С. ХУЧНИ,
1114,МКОУ ЦУДАХАРСКАЯ СОШ,YES
1115,МКОУ ЦУДУКСКАЯ ООШ,YES
1116,МКОУ ЦУЛИКАНИНСКАЯ ООШ,YES
1117,МКОУ ЦУРАИНСКАЯ ООШ,YES
1118,МКОУ Цурибская СОШ,YES
1119,МКОУ ЦУРТИЛЬСКАЯ СОШ,YES
1120,МКОУ ЦУХТАМАХИНСКАЯ СОШ,YES
1121,МКОУ ЦУХТЫГСКАЯ СОШ,YES
1122,МКОУ ЦУЩАРСКАЯ ООШ,YES
1123,МКОУ ЦЫЙШИНСКАЯ СОШ,YES
1124,МКОУ Чабанмахинская СОШ,YES
1125,МКОУ ЧАГАРОТАРСКАЯ СОШ,YES
1126,МКОУ ЧАДАКОЛОБСКАЯ СОШ,YES
1127,МКОУ Чалдинская СОШ,YES
1128,МКОУ ЧАНКОВСКАЯ СОШ,YES
1129,МКОУ Чанкурбенская СОШ,YES
1130,МКОУ ЧАПАЕВСКАЯ СОШ №1,YES
1131,МКОУ ЧАПАЕВСКАЯ СОШ №2,YES
1132,МКОУ ЧАРАВАЛИНСКАЯ СОШ,YES
1133,МКОУ ЧАХЧАХ-КАЗМАЛЯРСКАЯ СОШ,YES
1134,МКОУ ЧЕРВЛЕННО-БУРУНСКАЯ СОШ,YES
1135,МКОУ ЧЕРЕНСКАЯ ООШ,YES
1136,МКОУ Черняевская СОШ,YES
1137,МКОУ ЧИЛИКАРСКАЯ ООШ,YES
1138,МКОУ ЧИНАРСКАЯ СОШ № 1,YES
1139,МКОУ ЧИНАРСКАЯ СОШ № 2,YES
1140,МКОУ ЧИНИМАХИНСКАЯ ООШ,YES
1141,МКОУ ЧИРАГСКАЯ СОШ,YES
1142,МКОУ ЧИРКАТИНСКАЯ СОШ,YES
1143,МКОУ ЧИРКЕЙСКИЙ ЛИЦЕЙ,
1144,МКОУ ЧИТЛИНСКАЯ ООШ,YES
1145,МКОУ ЧИШИЛИНСКАЯ СОШ,YES
1146,МКОУ ЧОНТАУЛЬСКАЯ СОШ №1,YES
1147,МКОУ ЧОНТАУЛЬСКАЯ СОШ №2,YES
1148,МКОУ ЧОРОДИНСКАЯ ООШ,
1149,МКОУ ЧОХ-КОММУНСКАЯ СОШ,YES
1150,МКОУ ЧОХСКАЯ СОШ,YES
1151,МКОУ ЧУВЕКСКАЯ СОШ ИМ.СЕФЕРБЕКОВА,
1152,МКОУ ЧУЛАТСКАЯ СОШ,YES
1153,МКОУ ЧУМЛИНСКАЯ СОШ,YES
1154,МКОУ ЧУНИНСКАЯ СОШ,YES
1155,МКОУ ЧУРТАХСКАЯ ООШ,YES
1156,МКОУ ЧУХВЕРКЕНТСКАЯ СОШ,YES
1157,МКОУ ШАГАДИНСКАЯ СОШ,YES
1158,МКОУ ШАДНИНСКАЯ ООШ,YES
1159,МКОУ ШАМИЛЬКАЛИНСКАЯ СОШ,YES
1160,МКОУ ШАМХАЛЯНГИЮРТОВСКАЯ СОШ,
1161,МКОУ ШАНГОДИНСКАЯ СОШ,YES
1162,МКОУ Шаумяновская ООШ,
1163,МКОУ ШИДИБСКАЯ СОШ,YES
1164,МКОУ ШИЛЕНСКАЯ СОШ,YES
1165,МКОУ ШИМИХЮРСКАЯ СОШ,YES
1166,МКОУ ШИНКБАЛАКАДИНСКАЯ ООШ,YES
1167,МКОУ ШИХИКЕНТСКАЯ СОШ,YES
1168,МКОУ ШКОЛА №2 ИМ. З.Х.ХИЗРИЕВА,
1169,МКОУ ШКОЛА-САД СЕЛА НИЖНИЙ ДЖАЛГАН,
1170,МКОУ ШОВКРИНСКАЯ ООШ,YES
1171,МКОУ ШОДРОДИНСКАЯ СОШ,YES
1172,МКОУ ШСОШ,
1173,МКОУ ШТУЛЬСКАЯ ООШ,YES
1174,МКОУ ШУЛАНИНСКАЯ СОШ,YES
1175,МКОУ ШУМЛЕЛИКСКАЯ СОШ,YES
1176,МКОУ ШУШАНОВСКАЯ СОШ,YES
1177,МКОУ ШУШИНСКАЯ СОШ,YES
1178,МКОУ ЩАРИНСКАЯ СОШ,YES
1179,МКОУ ЭБДАЛАИНСКАЯ СОШ,
1180,МКОУ ЭДИГЕЙСКАЯ СОШ,YES
1181,МКОУ Экибулакская ООШ,YES
1182,МКОУ ЭМИНХЮРСКАЯ СОШ,YES
1183,МКОУ ЭНДИРЕЙСКАЯ СОШ № 1,YES
1184,МКОУ ЭНДИРЕЙСКАЯ СОШ №2,YES
1185,МКОУ ЮРКОВСКАЯ СОШ,YES
1186,МКОУ ЮХАРИКАРТАССКАЯ ООШ,YES
1187,МКОУ ЮХАРИСТАЛЬСКАЯ СОШ,YES
1188,МКОУ Ю-ЯРАКСКАЯ ООШ ИМ.А.М.ЮСУФОВА,
1189,МКОУ ЯГДЫГСКАЯ СОШ №1,YES
1190,МКОУ ЯГДЫГСКАЯ СОШ №2,YES
1191,МКОУ ЯЛАКСКАЯ ООШ ИМ.И.М.ИСАБЕКОВА,
1192,МКОУ ЯМАНСУЙСКАЯ СОШ,YES
1193,МКОУ ЯНГИКЕНТСКАЯ СОШ,YES
1194,МКОУ ЯРАГКАЗМАЛЯРСКАЯ СОШ,YES
1195,МКОУ ЯРКУГСКАЯ СОШ,YES
1196,МКОУ ЯРУКВАЛАРСКАЯ ООШ,YES
1197,МКОУ Яснополянская СОШ,YES
1198,МКОУКШИ ДКК-1,
1199,МОУ КОМСОМОЛЬСКАЯ СОШ,YES
1200,МОУ МУНИНСКАЯ СОШ,YES
1201,Усухчайская СОШ,YES
1202,ФУРДАГСКАЯ НШ,
