,CОШ
610, шиленская сош
611, шинкбалакадинская оош
612, шихикентская сош
613, шовкринская оош
614, шодродинская сош
615, штульская оош
616, шуланинская сош
617, шумлеликская сош
618, шушинская сош
619, щаринская сош
620, экибулакская оош
621, эминхюрская сош
622, эндирейская сош № 1
623, юрковская сош
624, юхарикартасская оош
625, юхаристальская сош
626, ягдыгская сош №1
627, ягдыгская сош №2
628, ямансуйская сош
629, янгикентская сош
630, яркугская сош
631, ярукваларская оош
632, яснополянская сош
633, комсомольская сош
634, мунинская сош
