МКОУ Новоромановская СОШ
МКОУ НОВОСАСИТЛИНСКАЯ СОШ
МКОУ НОВОСЕЛЬСКАЯ СОШ
МКОУ Новосеребряковская СОШ
МКОУ НОВОУРКАРАХСКАЯ СОШ
МКОУ НОВО-ФРИГСКАЯ СОШ
МКОУ НОВОЧИРКЕЙСКАЯ СОШ №1
МКОУ НОВОЧИРКЕЙСКАЯ СОШ №2
МКОУ НЮТЮГСКАЯ СОШ
МКОУ ОБОХСКАЯ СОШ
МКОУ Огузерская СОШ
МКОУ ОКТЯБРЬСКАЯ СОШ
МКОУ ООШ БЕЛИДЖИ
МКОУ ОРТАКОЛИНСКАЯ СОШ
МКОУ ОРТАТЮБИНСКАЯ СОШ
МКОУ ОСМАНЮРТОВСКАЯ СОШ
МКОУ ПИЛИГСКАЯ СОШ
МКОУ ПОБЕДОВСКАЯ СОШ
МКОУ ПОКРОВСКАЯ СОШ
МКОУ ПРИВОЛЬНЕНСКАЯ СОШ
МКОУ ПТИКЕНТСКАЯ ООШ
МКОУ ПЯТИЛЕТКИНСКАЯ СОШ
МКОУ РАССВЕТОВСКАЯ СОШ
МКОУ Ратлубская СОШ
МКОУ РД Мачадинская СОШ
МКОУ РИКВАНИНСКАЯ СОШ
МКОУ РОДНИКОВАЯ СОШ
МКОУ Роздолевская СОШ
МКОУ Ругельдинская СОШ
МКОУ РУГУДЖИНСКАЯ СОШ
МКОУ РУКЕЛЬСКАЯ ООШ
МКОУ Рыбалкинская СОШ
МКОУ САДОВАЯ СОШ
МКОУ САИДКЕНТСКАЯ СОШ
МКОУ САЙТАРКЕНТСКАЯ ООШ
МКОУ САЛТЫНСКАЯ СОШ
МКОУ Сангишинская ООШ
МКОУ САНЧИНСКАЯ СОШ
МКОУ САРДАРКЕНТСКАЯ СОШ
МКОУ Сар-Сарская СОШ
МКОУ СЕГЕЛЯРСКАЯ НАЧАЛЬНАЯ ШКОЛА
МКОУ СЕРТИЛЬСКАЯ СОШ
МКОУ СИРАГИНСКАЯ СОШ
